name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
stunninggirls.net,1,0,1,0.1808183193206787,1,0.3696002960205078,2,0,1
kathihill.com,1,0,0,0.9475388526916504,3,0.9488630294799805,,,1
kathihill.com,1,1,0,0.6472678184509277,3,0.6482505798339844,,,1
kathihill.com,1,0,1,0.20788788795471191,1,0.5262830257415771,2,0,1
linksplash.info,1,0,0,3.348137378692627,17,3.354644775390625,,,0
linksplash.info,1,1,0,3.567730665206909,17,3.575187921524048,,,0
linksplash.info,1,0,1,1.249556541442871,7,1.4643967151641846,6,6,0
group14eng.com,1,0,0,0.9545290470123291,3,0.9557125568389893,,,1
group14eng.com,1,1,0,0.6501460075378418,3,0.6515040397644043,,,1
group14eng.com,1,0,1,0.20953655242919922,1,0.6296515464782715,2,0,1
shqqaa.com,1,0,0,0.45877885818481445,3,0.459822416305542,,,2
shqqaa.com,1,1,0,0.5453336238861084,3,0.5463919639587402,,,2
shqqaa.com,1,0,1,0.6339659690856934,3,5.640678644180298,1,2,2
mesites.co.za,1,0,0,2.2953410148620605,7,2.2975661754608154,,,1
mesites.co.za,1,1,0,2.319286346435547,7,2.321516513824463,,,1
mesites.co.za,1,0,1,1.0635499954223633,4,6.268976926803589,2,3,1
progettogiovani.pd.it,1,0,0,0.788132905960083,3,0.7891273498535156,,,1
progettogiovani.pd.it,1,1,0,0.599114179611206,3,0.6001975536346436,,,1
progettogiovani.pd.it,1,0,1,0.7323453426361084,3,0.7343437671661377,0,3,1
asadventure.com,1,0,0,0.5065054893493652,3,0.5074334144592285,,,4
asadventure.com,1,1,0,0.4471609592437744,3,0.4480783939361572,,,4
asadventure.com,1,0,1,0.5116231441497803,3,5.519248008728027,1,2,4
michiganbulb.com,1,0,0,0.7138466835021973,3,0.7155067920684814,,,1
michiganbulb.com,1,1,0,0.8211023807525635,3,0.8226532936096191,,,1
michiganbulb.com,1,0,1,0.8219552040100098,3,5.828800201416016,1,2,1
shivalikprints.com,1,0,0,0.6039001941680908,3,0.6050889492034912,,,1
shivalikprints.com,1,1,0,0.8216774463653564,3,0.8232467174530029,,,1
